ax,ay,az,gx,gy,gz,activity
5336,9360,-13076,-7621,-3218,-5254,1
2548,9508,-15524,-8512,-1787,-6480,1
-1004,11420,-18400,-5276,-4217,-10585,1
-12,15252,-20752,-2393,-8347,-8326,1
6292,16092,-19676,-4131,-2834,-5210,1
3680,12764,-15568,-9887,4624,-6583,1
1108,9256,-14448,-12734,7911,-7306,1
-144,10060,-15520,-13513,7290,-7050,1
728,14460,-15968,-13234,8280,-5947,1
584,15156,-12632,-9711,11574,-4022,1
-472,13868,-8640,-6723,11947,-5021,1
-1760,12260,-5184,-5128,8148,-6109,1
-2564,10976,-2584,-4650,3157,-6984,1
-2044,10440,-2884,-4913,-249,-6969,1
-1248,14384,-3932,-7418,-1489,-6660,1
-1512,16312,-5924,-8459,-2808,-7059,1
-1020,14932,-7644,-7265,-3244,-6080,1
336,13196,-7440,-7326,-3831,-5507,1
796,12660,-6160,-7248,-2590,-4156,1
-240,11848,-6464,-7214,-1009,-4091,1
-1032,10572,-7496,-7726,592,-4245,1
-772,7940,-6836,-6848,855,-3762,1
-576,8580,-6676,-4715,2121,-5185,1
-1024,9360,-6892,-3908,3235,-5857,1
-2332,11084,-6736,-2456,2469,-5607,1
-3724,13412,-7188,-1339,1168,-4046,1
-2824,14576,-6112,768,-2819,-4258,1
-1048,15548,-4068,719,-2999,-3420,1
672,15432,-4448,-429,-139,-2092,1
-228,15012,-6840,-945,614,-827,1
-1796,13880,-7940,-865,610,-1396,1
-2656,13452,-7700,-1258,588,-2466,1
-2608,12736,-7712,-1472,778,-2993,1
-2544,12800,-6836,-1376,416,-3264,1
-2116,13856,-5704,-1905,342,-2763,1
-2388,14524,-5152,-2261,-71,-1685,1
-3220,15048,-5764,-2312,-851,-1249,1
-3608,14808,-6176,-2363,-1065,-1175,1
-3936,15668,-6872,-2758,-1502,-954,1
-4404,16456,-6828,-3310,-1994,-696,1
-4392,17336,-6944,-4032,-1931,-594,1
-4972,16980,-6836,-4026,-2544,-439,1
-4488,17072,-6596,-3737,-3456,484,1
-3332,17344,-7260,-3114,-5115,1127,1
-3528,18156,-10264,-1789,-5035,838,1
-1724,18304,-7352,1211,-2208,4009,1
-84,17828,-3708,2706,1612,7623,1
1064,15812,-4312,3498,4318,7456,1
760,16520,-5652,6087,3088,6829,1
-40,16356,-5968,11671,68,12608,1
1148,18136,-6160,12199,1196,13360,1
140,14724,-7668,13275,141,10967,1
592,13852,-7608,14978,-2672,10948,1
2208,12852,-7284,15536,-4713,6116,1
3128,13712,-7068,17278,-6347,6538,1
1680,12976,-5672,17670,-2279,5995,1
1216,9368,-8688,19235,-3304,3983,1
696,9180,-10168,19736,-5312,4009,1
4692,8740,-8152,15245,-1106,4032,1
3592,6164,-8432,8989,3716,2332,1
2668,4284,-8524,3786,5474,362,1
1772,3152,-9524,-436,4574,-1290,1
2124,1336,-9664,-3172,1909,-1384,1
3340,2972,-10788,-4851,1345,-130,1
5484,6368,-10428,-6576,2248,57,1
4496,9568,-11980,-6812,-484,0,1
-720,21440,-13936,-5508,-6344,-8256,1
6672,14012,-15184,-3758,-6342,-3663,1
5028,8456,-11912,-5320,-1384,-5902,1
1528,7368,-13784,-7968,-6031,-7025,1
4624,10884,-17980,-10813,-3006,-3235,1
3556,16324,-18836,-12174,3276,-3512,1
2436,15748,-12556,-8383,9880,-4425,1
392,12268,-6920,-6408,9585,-4748,1
-1032,11776,-5000,-6375,6087,-6212,1
-1080,11072,-5324,-5598,2742,-6590,1
-1820,12944,-6336,-6251,728,-7102,1
-1604,14428,-7520,-6870,-2268,-7923,1
-512,14840,-6996,-4669,-3316,-5237,1
856,13692,-6328,-4984,-2098,-3920,1
-196,14356,-6444,-6859,-1405,-5360,1
-1264,13236,-7828,-6582,-2040,-6037,1
-140,11280,-8336,-5549,-716,-7012,1
-596,8952,-7544,-5544,1992,-6385,1
-548,8184,-6044,-4814,4806,-3924,1
-1940,9528,-5392,-2085,4178,-5117,1
-2432,12704,-4780,-2056,3310,-6041,1
-1880,14552,-3968,-717,-2187,-6264,1
300,16800,-5316,-1608,-2351,-4937,1
